alarm_id,alarm_name,alarm_text,alarm_code,ce_on,ce_off
477,, CHB3 CV32 CLOSE ALM,2,,
478,, CHB2 RF COOLING WATER ALARM,2,,
479,, CHB2 RF MATCHING COOLING WATER ALARM,2,,
480,, The orientation of the tray in the feeding area is abnormal,2,,
481,, CHB2 RIE COOLING WATER ALARM,2,,
482,," CHB2 electrode lowering is not completed, CHB2 transmission stops",2,,
483,, PNP not linked,2,,
484,," During PNP operation, CHB1 gate 1 is inoperable",2,,
485,, The front-stage feeding has been switched to manual mode,2,,
486,, The back-stage material return has been switched to manual mode,2,,
487,, BUF1 transfer to PNP stopped because PNP is not READY,2,,
488,, Host connection abnormality,2,,
